level,message_pattern,first_seen,last_seen,count
WARN,Health check response time elevated endpoint=/health latency=151ms,2026-06-01 00:01:20.030000+00:00,2026-06-01 23:26:38.819000+00:00,7
WARN,Cache warm-up slower than expected startup_ms=<num>,2026-06-01 00:02:16.689000+00:00,2026-06-01 23:56:17.886000+00:00,734
WARN,Health check response time elevated endpoint=/health latency=249ms,2026-06-01 00:04:35.358000+00:00,2026-06-01 19:06:35.138000+00:00,5
WARN,Connection pool nearing limit pool=db connections=<num>/<num>,2026-06-01 00:04:45.868000+00:00,2026-06-01 23:57:09.726000+00:00,1104
WARN,Health check response time elevated endpoint=/health latency=168ms,2026-06-01 00:16:50.592000+00:00,2026-06-01 23:19:34.851000+00:00,6
WARN,Health check response time elevated endpoint=/health latency=247ms,2026-06-01 00:18:25.977000+00:00,2026-06-01 19:34:30.470000+00:00,5
WARN,Health check response time elevated endpoint=/health latency=124ms,2026-06-01 00:21:07.627000+00:00,2026-06-01 07:30:11.485000+00:00,2
WARN,Health check response time elevated endpoint=/health latency=206ms,2026-06-01 00:25:33.731000+00:00,2026-06-01 20:34:50.761000+00:00,8
WARN,Health check response time elevated endpoint=/health latency=140ms,2026-06-01 00:25:42.730000+00:00,2026-06-01 23:19:50.288000+00:00,5
WARN,Health check response time elevated endpoint=/health latency=241ms,2026-06-01 00:29:02.363000+00:00,2026-06-01 21:51:24.036000+00:00,7
WARN,Health check response time elevated endpoint=/health latency=131ms,2026-06-01 00:33:46.178000+00:00,2026-06-01 21:08:57.503000+00:00,7
WARN,Health check response time elevated endpoint=/health latency=181ms,2026-06-01 00:43:52.251000+00:00,2026-06-01 04:14:25.151000+00:00,3
WARN,Health check response time elevated endpoint=/health latency=128ms,2026-06-01 00:43:58.862000+00:00,2026-06-01 19:20:37.524000+00:00,4
WARN,Health check response time elevated endpoint=/health latency=176ms,2026-06-01 00:44:55.092000+00:00,2026-06-01 20:04:37.729000+00:00,8
WARN,Health check response time elevated endpoint=/health latency=237ms,2026-06-01 00:47:37.201000+00:00,2026-06-01 22:41:47.136000+00:00,7
WARN,Health check response time elevated endpoint=/health latency=139ms,2026-06-01 00:52:04.647000+00:00,2026-06-01 19:58:36.838000+00:00,10
WARN,Health check response time elevated endpoint=/health latency=250ms,2026-06-01 00:55:53.933000+00:00,2026-06-01 21:22:30.077000+00:00,7
WARN,Health check response time elevated endpoint=/health latency=212ms,2026-06-01 00:58:10.873000+00:00,2026-06-01 21:54:07.756000+00:00,10
WARN,Health check response time elevated endpoint=/health latency=194ms,2026-06-01 00:58:44.099000+00:00,2026-06-01 20:24:08.725000+00:00,3
WARN,Health check response time elevated endpoint=/health latency=202ms,2026-06-01 01:00:34.367000+00:00,2026-06-01 13:50:43.190000+00:00,7
WARN,Health check response time elevated endpoint=/health latency=220ms,2026-06-01 01:02:48.812000+00:00,2026-06-01 23:09:17.057000+00:00,6
WARN,Health check response time elevated endpoint=/health latency=199ms,2026-06-01 01:04:55.565000+00:00,2026-06-01 14:51:37.607000+00:00,5
WARN,Health check response time elevated endpoint=/health latency=180ms,2026-06-01 01:17:25.016000+00:00,2026-06-01 20:10:39.664000+00:00,7
WARN,Health check response time elevated endpoint=/health latency=210ms,2026-06-01 01:18:45.731000+00:00,2026-06-01 13:27:54.191000+00:00,4
WARN,Health check response time elevated endpoint=/health latency=226ms,2026-06-01 01:27:10.039000+00:00,2026-06-01 22:30:33.760000+00:00,10
WARN,Health check response time elevated endpoint=/health latency=231ms,2026-06-01 01:32:19.684000+00:00,2026-06-01 22:57:24.109000+00:00,11
WARN,Health check response time elevated endpoint=/health latency=165ms,2026-06-01 01:32:43.570000+00:00,2026-06-01 23:20:00.765000+00:00,5
WARN,Health check response time elevated endpoint=/health latency=203ms,2026-06-01 01:35:16.888000+00:00,2026-06-01 20:39:06.680000+00:00,7
WARN,Health check response time elevated endpoint=/health latency=152ms,2026-06-01 01:35:23.779000+00:00,2026-06-01 16:04:21.815000+00:00,4
WARN,Health check response time elevated endpoint=/health latency=183ms,2026-06-01 01:41:33.301000+00:00,2026-06-01 19:23:19.779000+00:00,4
WARN,Health check response time elevated endpoint=/health latency=150ms,2026-06-01 01:42:55.889000+00:00,2026-06-01 23:42:56.368000+00:00,8
WARN,Health check response time elevated endpoint=/health latency=192ms,2026-06-01 01:46:43.812000+00:00,2026-06-01 22:17:27.832000+00:00,7
WARN,Health check response time elevated endpoint=/health latency=138ms,2026-06-01 02:01:56.380000+00:00,2026-06-01 16:39:08.902000+00:00,5
WARN,Health check response time elevated endpoint=/health latency=171ms,2026-06-01 02:03:40.438000+00:00,2026-06-01 22:58:45.136000+00:00,9
WARN,Health check response time elevated endpoint=/health latency=174ms,2026-06-01 02:08:43.688000+00:00,2026-06-01 23:05:35.789000+00:00,8
WARN,Health check response time elevated endpoint=/health latency=147ms,2026-06-01 02:13:23.370000+00:00,2026-06-01 16:36:48.473000+00:00,7
WARN,Health check response time elevated endpoint=/health latency=163ms,2026-06-01 02:17:28.603000+00:00,2026-06-01 20:25:20.824000+00:00,5
WARN,Health check response time elevated endpoint=/health latency=233ms,2026-06-01 02:18:51.131000+00:00,2026-06-01 22:30:14.355000+00:00,4
WARN,Health check response time elevated endpoint=/health latency=178ms,2026-06-01 02:26:11.258000+00:00,2026-06-01 12:12:58.508000+00:00,7
WARN,Health check response time elevated endpoint=/health latency=224ms,2026-06-01 02:53:16.074000+00:00,2026-06-01 20:17:04.327000+00:00,4
WARN,Health check response time elevated endpoint=/health latency=189ms,2026-06-01 02:58:46.664000+00:00,2026-06-01 22:43:09.828000+00:00,5
WARN,Health check response time elevated endpoint=/health latency=200ms,2026-06-01 03:07:50.157000+00:00,2026-06-01 22:22:41.494000+00:00,4
WARN,Health check response time elevated endpoint=/health latency=201ms,2026-06-01 03:12:14.539000+00:00,2026-06-01 23:39:50.884000+00:00,8
WARN,Health check response time elevated endpoint=/health latency=243ms,2026-06-01 03:14:57.853000+00:00,2026-06-01 23:20:49.503000+00:00,10
WARN,Health check response time elevated endpoint=/health latency=215ms,2026-06-01 03:20:06.169000+00:00,2026-06-01 15:50:32.457000+00:00,7
WARN,Health check response time elevated endpoint=/health latency=218ms,2026-06-01 03:24:14.151000+00:00,2026-06-01 21:55:49.905000+00:00,5
WARN,Health check response time elevated endpoint=/health latency=169ms,2026-06-01 03:25:17.191000+00:00,2026-06-01 20:24:57.980000+00:00,5
WARN,Health check response time elevated endpoint=/health latency=134ms,2026-06-01 03:26:41.623000+00:00,2026-06-01 21:39:01.206000+00:00,6
WARN,Health check response time elevated endpoint=/health latency=156ms,2026-06-01 03:26:45.168000+00:00,2026-06-01 21:02:00.363000+00:00,7
WARN,Health check response time elevated endpoint=/health latency=236ms,2026-06-01 03:27:32.135000+00:00,2026-06-01 15:15:33.752000+00:00,2
WARN,Health check response time elevated endpoint=/health latency=172ms,2026-06-01 03:34:32.612000+00:00,2026-06-01 08:43:20.749000+00:00,3
WARN,Health check response time elevated endpoint=/health latency=153ms,2026-06-01 03:35:17.057000+00:00,2026-06-01 17:05:17.053000+00:00,5
WARN,Health check response time elevated endpoint=/health latency=129ms,2026-06-01 03:36:57.285000+00:00,2026-06-01 15:22:13.058000+00:00,2
WARN,Health check response time elevated endpoint=/health latency=142ms,2026-06-01 03:37:57.979000+00:00,2026-06-01 22:50:07.110000+00:00,4
